image,type,detected,success,time
archisman.JPG,Positive,None,False,2.4907
negative_empty.JPG,Negative,None,True,3.0239
negative_empty_1.JPG,Negative,None,True,2.8668
negative_empty_2.JPG,Negative,None,True,2.9527
negative_empty_3.JPG,Negative,None,True,4.1771
snehil.jpg,Positive,Snehil,True,3.101
snehil_1.JPG,Positive,Snehil,True,2.3034
snehil_2.JPG,Positive,Snehil,True,2.5551
snehil_3.JPG,Positive,Snehil,True,2.8041
snehil_4.JPG,Positive,Snehil,True,3.5692
snehil_5.jpg,Positive,Snehil,True,2.4034
snehil_archisman_soumyartho.JPG,Positive,"Soumyartho, Snehil",True,2.5782
snehil_subhayan.JPG,Positive,"Snehil, Subhayan",True,2.7917
snehil_subhayan_1.JPG,Positive,"Snehil, Subhayan",True,2.81
snehil_subhayan_2.JPG,Positive,"Snehil, Subhayan",True,2.8951
snehil_subhayan_3.jpg,Positive,Subhayan,True,3.0049
snehil_subhayan_4.jpg,Positive,"Snehil, Subhayan",True,6.6008
snehil_subhayan_5.jpg,Positive,None,False,4.8979
snehil_subhayan_6.jpg,Positive,"Snehil, Subhayan",True,2.8148
soumyartho.JPG,Positive,Soumyartho,True,2.4181
